"",gene_symbol,GSM1820115,GSM1820116,GSM1820117,GSM1820118,GSM1820119,GSM1820120,GSM1820121,GSM1820122,GSM1820123,GSM1820124,GSM1820125,GSM1820126,GSM1820127,GSM1820128,GSM1820129
ENSG00000275430,MUC20,194.3453,128.8816,0,36.2954,42.4705,28.4434,36.4454,31.9667,101.2382,47.3185,37.0448,21.6972,39.6944,6.9371,23.9807
ENSG00000275433,KIR3DL3,5.6073,0,0,0,0,0,0,0,2.1159,0,0,0,0,0,0
ENSG00000275434,KIR3DS1,0,0,0,0,0,3.999,0,11.345,0,0,0,0,0,0,0
ENSG00000275436,KIR2DL5B,0,0,0,27.5325,0,0,0,0,0,0,0,0,0,0,5.7758
ENSG00000275442,LILRP2,0,0,0,0,0,0,0,0,0,0.4336,0,0,0,0,0
ENSG00000275444,DEFB4B,0,0,0,0,0,0,7.6989,0,0,4.9932,1.5017,0.6507,0.5006,2.7405,0
ENSG00000275449,MIR6859-3,8.3907,6.5059,5.6831,3.0761,9.1326,2.8111,6.6428,34.4943,8.0438,8.286,24.5053,16.5216,19.9227,27.7308,3.2311
ENSG00000275450,PTGER4P2-CDK2AP2P2,327.6194,137.4129,128.6353,83.1131,129.6598,48.2901,75.098,95.3875,171.1043,80.3423,45.3028,179.6189,60.1983,105.1958,127.9608
ENSG00000275451,MIR6085,3.0583,0.9929,1.0604,0,0,0,0.9929,0,0.9929,0,0,0,0,0,0
ENSG00000275452,KIR2DS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000275453,MIR548O2,0,0,0,0,1.3293,2.2211,0,0,0,1.0069,0.2921,0,0,0,0
ENSG00000275455,MIR7852,1.983,2.0461,2.9745,0,3.0225,0,0,0,0,0.9915,0,0,0,0,0.9915
ENSG00000275456,KIR2DL4,0,0,0,0,0,0,0,0.0097,0,0,0,54.0916,0,0,26.7623
ENSG00000275458,MIR6809,2.477,4.1123,2.9803,3.7794,2.7822,1.0057,1.0982,2.0116,2.5399,2.9802,2.0116,2.8575,1.0058,3.2951,2.5829
ENSG00000275462,LILRP2,0,0,0,0,0,0,0,0,0,0,0,1.4906,0,0,0
ENSG00000275463,LILRB2,70.3912,3.1329,55.3386,42.0291,36.9602,1716.7548,0.1781,27.5477,2188.8923,799.453,319.9554,620.8731,0,821.3981,265.6858
ENSG00000275464,LOC102724159,2611.203,1219.3623,931.0446,225.6774,701.2717,1078.2671,1739.3478,1428.4276,2117.4711,1664.096,2110.5865,1596.7646,1950.3775,2002.2927,574.6802
ENSG00000275465,LOC158434,232.13,130.1728,71.6976,75.6393,117.0184,13.9191,49.8894,34.1092,145.7918,60.8483,13.2789,74.3707,21.8509,66.8078,63.7806
